time_start,time_end,launched,destroyed,id
2023-08-10 23:00:00,2023-08-10 04:00:00,10,7,385
2023-08-11 09:00:00,2023-08-11 10:30:00,4,1,386
2023-08-12 01:30:00,2023-08-12 03:30:00,5,3,387
2023-08-14 01:00:00,2023-08-14 03:00:00,15,15,388
2023-08-14 01:00:00,2023-08-14 03:00:00,8,8,389
2023-08-15 03:00:00,2023-08-15 06:00:00,4,2,390
2023-08-15 03:00:00,2023-08-15 06:00:00,4,0,391
2023-08-15 03:00:00,2023-08-15 06:00:00,20,14,392
2023-08-15 03:00:00,2023-08-15 06:00:00,8,0,393
2023-08-15 22:00:00,2023-08-16 05:00:00,13,13,394
2023-08-16 02:00:00,2023-08-16 05:00:00,3,3,395
2023-08-18 00:00:00,2023-08-18 00:00:00,1,1,396
2023-08-18 00:00:00,2023-08-18 00:00:00,6,6,397
2023-08-19 01:00:00,2023-08-19 05:00:00,17,15,398
2023-08-23 00:00:00,2023-08-23 08:00:00,20,11,399
2023-08-24 02:30:00,2023-08-24 02:30:00,1,1,400
2023-08-25 00:00:00,2023-08-25 08:00:00,2,2,401
2023-08-25 00:00:00,2023-08-25 08:00:00,2,2,402
2023-08-25 00:00:00,2023-08-25 08:00:00,1,1,403
2023-08-26 00:00:00,2023-08-26 00:00:00,2,2,404
2023-08-27 00:00:00,2023-08-27 00:00:00,2,2,405
2023-08-27 00:00:00,2023-08-27 08:00:00,8,4,406
2023-08-28 00:00:00,2023-08-28 08:00:00,2,2,407
2023-08-28 00:00:00,2023-08-28 08:00:00,4,2,408
2023-08-30 00:00:00,2023-08-30 08:00:00,28,28,409
2023-08-30 00:00:00,2023-08-30 08:00:00,16,15,410
2023-09-01 00:00:00,2023-09-01 08:00:00,2,1,411
2023-09-03 00:00:00,2023-09-03 08:00:00,25,22,412
2023-09-04 00:00:00,2023-09-04 08:00:00,32,23,413
2023-09-06 00:00:00,2023-09-06 08:00:00,25,15,414
2023-09-06 00:00:00,2023-09-06 08:00:00,7,7,415
2023-09-06 00:00:00,2023-09-06 08:00:00,1,1,416
2023-09-07 00:00:00,2023-09-07 08:00:00,33,25,417
2023-09-08 00:00:00,2023-09-08 08:00:00,20,16,418
2023-09-10 00:00:00,2023-09-10 08:00:00,33,26,419
2023-09-11 00:00:00,2023-09-11 08:00:00,12,12,420
2023-09-11 00:00:00,2023-09-11 08:00:00,1,1,421
2023-09-13 00:00:00,2023-09-13 08:00:00,44,32,422
2023-09-13 21:00:00,2023-09-14 02:30:00,22,17,423
2023-09-15 00:00:00,2023-09-15 08:00:00,17,17,424
2023-09-17 00:00:00,2023-09-17 08:00:00,6,6,425
2023-09-17 00:00:00,2023-09-17 08:00:00,10,6,426
2023-09-18 00:00:00,2023-09-17 08:00:00,24,18,427
2023-09-18 00:00:00,2023-09-18 08:00:00,17,17,428
2023-09-19 00:00:00,2023-09-19 08:00:00,30,27,429
2023-09-19 00:00:00,2023-09-19 08:00:00,1,1,430
2023-09-19 00:00:00,2023-09-19 08:00:00,1,0,431
2023-09-20 00:00:00,2023-09-20 08:00:00,24,17,432
2023-09-21 03:00:00,2023-09-21 09:00:00,43,36,433
2023-09-21 06:00:00,2023-09-21 06:00:00,6,0,434
2023-09-23 00:00:00,2023-09-23 08:00:00,15,14,435
